offer_date,IPO_name,ticker,CIK,CIK2,S1_Filing_Date,filename,company_name,form_type,filing_date,url
20000321,Aclara Biosciences Inc,ACLA,0001067588,1067588,20JAN2000,0000891618-00-000185.txt,ACLARA BIOSCIENCES INC,S-1,20JAN2000,https://www.sec.gov/Archives/edgar/data/1067588/000089161800000185/0000891618-00-000185.txt
20001113,Adolor Corp,ADLR,0001076167,1076167,08FEB2000,0000950109-00-000310.txt,ADOLOR CORP,S-1,08FEB2000,https://www.sec.gov/Archives/edgar/data/1076167/000095010900000310/0000950109-00-000310.txt
20010607,Alliance Data Systems Corp,ADS,0001101215,1101215,13JAN2000,0000912057-00-001201.txt,ALLIANCE DATA SYSTEMS CORP,S-1,13JAN2000,https://www.sec.gov/Archives/edgar/data/1101215/000091205700001201/0000912057-00-001201.txt
20000327,Allos Therapeutics Inc,ALTH,0001097264,1097264,26JAN2000,0001035704-00-000023.txt,ALLOS THERAPEUTICS,S-1,26JAN2000,https://www.sec.gov/Archives/edgar/data/1097264/000103570400000023/0001035704-00-000023.txt
20000807,America Online Latin America,AOLA,0001100395,1100395,20JAN2000,0000950130-00-000161.txt,AMERICA ONLINE LATIN AMERICA INC,S-1,20JAN2000,https://www.sec.gov/Archives/edgar/data/1100395/000095013000000161/0000950130-00-000161.txt
20000203,Antigenics Inc,AGEN,0001098972,1098972,10JAN2000,0000950135-00-000063.txt,ANTIGENICS INC /DE/,S-1/A,10JAN2000,https://www.sec.gov/Archives/edgar/data/1098972/000095013500000063/0000950135-00-000063.txt
20000217,Apropos Technology Inc,APRS,0001098803,1098803,14JAN2000,0000950131-00-000205.txt,APROPOS TECHNOLOGY INC,S-1/A,14JAN2000,https://www.sec.gov/Archives/edgar/data/1098803/000095013100000205/0000950131-00-000205.txt
20000330,ArrowPoint Communications Inc,ARPT,0001039198,1039198,27JAN2000,0000950135-00-000275.txt,ARROWPOINT COMMUNICATIONS INC,S-1,27JAN2000,https://www.sec.gov/Archives/edgar/data/1039198/000095013500000275/0000950135-00-000275.txt
20000327,ARTISTdirect Inc,ARTD,0001095079,1095079,27JAN2000,0000892569-00-000102.txt,ARTISTDIRECT INC,S-1/A,27JAN2000,https://www.sec.gov/Archives/edgar/data/1095079/000089256900000102/0000892569-00-000102.txt
20000302,AsiaInfo Holdings Inc,ASIA,0001100969,1100969,03FEB2000,0000950109-00-000281.txt,ASIAINFO HOLDINGS INC,S-1/A,03FEB2000,https://www.sec.gov/Archives/edgar/data/1100969/000095010900000281/0000950109-00-000281.txt
20000127,Aspect Medical Systems Inc,ASPM,0000886235,886235,10JAN2000,0000950135-00-000061.txt,ASPECT MEDICAL SYSTEMS INC,S-1/A,10JAN2000,https://www.sec.gov/Archives/edgar/data/886235/000095013500000061/0000950135-00-000061.txt
20000809,AtheroGenics Inc,AGIX,0001107601,1107601,25FEB2000,0000950144-00-002694.txt,ATHEROGENICS INC,S-1,25FEB2000,https://www.sec.gov/Archives/edgar/data/1107601/000095014400002694/0000950144-00-002694.txt
20000928,@Road Inc,ARDI,0001109537,1109537,24MAR2000,0001012870-00-001593.txt,ATROAD INC,S-1,24MAR2000,https://www.sec.gov/Archives/edgar/data/1109537/000101287000001593/0001012870-00-001593.txt
20000614,August Technology Corp,AUGT,0001063527,1063527,17MAR2000,0000912057-00-012144.txt,AUGUST TECHNOLOGY CORP,S-1,17MAR2000,https://www.sec.gov/Archives/edgar/data/1063527/000091205700012144/0000912057-00-012144.txt
20000203,Avanex Corp,AVNX,0001056794,1056794,14JAN2000,0000891618-00-000121.txt,AVANEX CORP,S-1/A,14JAN2000,https://www.sec.gov/Archives/edgar/data/1056794/000089161800000121/0000891618-00-000121.txt
20000211,Beasley Broadcast Group Inc,BBGI,0001099160,1099160,12JAN2000,0000950133-00-000048.txt,BEASLEY BROADCAST GROUP INC,S-1/A,12JAN2000,https://www.sec.gov/Archives/edgar/data/1099160/000095013300000048/0000950133-00-000048.txt
20000322,Blaze Software Inc,BLZE,0001103088,1103088,12JAN2000,0001012870-00-000106.txt,BLAZE SOFTWARE INC,S-1,12JAN2000,https://www.sec.gov/Archives/edgar/data/1103088/000101287000000106/0001012870-00-000106.txt
