Document_ID,Topics
Document 1,Topic 10: 0.9673; Topic 5: 0.0017; Topic 1: 0.0017
Document 2,Topic 10: 0.9703; Topic 5: 0.0016; Topic 20: 0.0016
Document 3,Topic 10: 0.9713; Topic 1: 0.0015; Topic 5: 0.0015
Document 4,Topic 10: 0.9711; Topic 5: 0.0015; Topic 20: 0.0015
Document 5,Topic 10: 0.9727; Topic 1: 0.0014; Topic 5: 0.0014
Document 6,Topic 10: 0.9715; Topic 8: 0.0015; Topic 16: 0.0015
Document 7,Topic 10: 0.9713; Topic 5: 0.0015; Topic 20: 0.0015
Document 8,Topic 10: 0.9724; Topic 5: 0.0015; Topic 1: 0.0015
Document 9,Topic 10: 0.9699; Topic 5: 0.0016; Topic 1: 0.0016
Document 10,Topic 10: 0.9789; Topic 5: 0.0011; Topic 19: 0.0011
Document 11,Topic 10: 0.9789; Topic 19: 0.0011; Topic 14: 0.0011
Document 12,Topic 10: 0.9788; Topic 1: 0.0011; Topic 5: 0.0011
Document 13,Topic 10: 0.9760; Topic 19: 0.0013; Topic 15: 0.0013
Document 14,Topic 10: 0.9737; Topic 1: 0.0014; Topic 19: 0.0014
Document 15,Topic 10: 0.9712; Topic 1: 0.0015; Topic 5: 0.0015
Document 16,Topic 10: 0.9742; Topic 5: 0.0014; Topic 20: 0.0014
Document 17,Topic 10: 0.9726; Topic 5: 0.0014; Topic 20: 0.0014
Document 18,Topic 10: 0.9556; Topic 5: 0.0023; Topic 20: 0.0023
Document 19,Topic 10: 0.9708; Topic 5: 0.0015; Topic 20: 0.0015
Document 20,Topic 10: 0.9672; Topic 5: 0.0017; Topic 14: 0.0017
Document 21,Topic 10: 0.9761; Topic 8: 0.0013; Topic 1: 0.0013
Document 22,Topic 10: 0.9648; Topic 5: 0.0019; Topic 1: 0.0019
Document 23,Topic 10: 0.9736; Topic 17: 0.0014; Topic 5: 0.0014
Document 24,Topic 10: 0.9042; Topic 5: 0.0050; Topic 20: 0.0050
Document 25,Topic 10: 0.9737; Topic 17: 0.0014; Topic 5: 0.0014
Document 26,Topic 10: 0.9768; Topic 20: 0.0012; Topic 18: 0.0012
Document 27,Topic 10: 0.9761; Topic 5: 0.0013; Topic 20: 0.0013
Document 28,Topic 10: 0.9779; Topic 20: 0.0012; Topic 18: 0.0012
Document 29,Topic 10: 0.9756; Topic 5: 0.0013; Topic 20: 0.0013
Document 30,Topic 10: 0.9756; Topic 5: 0.0013; Topic 20: 0.0013
Document 31,Topic 10: 0.9760; Topic 5: 0.0013; Topic 20: 0.0013
Document 32,Topic 10: 0.9760; Topic 5: 0.0013; Topic 20: 0.0013
Document 33,Topic 10: 0.9794; Topic 5: 0.0011; Topic 20: 0.0011
Document 34,Topic 10: 0.9793; Topic 5: 0.0011; Topic 20: 0.0011
Document 35,Topic 10: 0.9756; Topic 5: 0.0013; Topic 20: 0.0013
Document 36,Topic 10: 0.9760; Topic 5: 0.0013; Topic 20: 0.0013
Document 37,Topic 10: 0.9760; Topic 5: 0.0013; Topic 20: 0.0013
Document 38,Topic 10: 0.9756; Topic 5: 0.0013; Topic 20: 0.0013
Document 39,Topic 10: 0.9760; Topic 5: 0.0013; Topic 20: 0.0013
Document 40,Topic 10: 0.9756; Topic 5: 0.0013; Topic 20: 0.0013
Document 41,Topic 10: 0.9717; Topic 5: 0.0015; Topic 1: 0.0015
Document 42,Topic 10: 0.9697; Topic 8: 0.0016; Topic 5: 0.0016
Document 43,Topic 10: 0.9722; Topic 5: 0.0015; Topic 11: 0.0015
Document 44,Topic 10: 0.9756; Topic 5: 0.0013; Topic 20: 0.0013
Document 45,Topic 10: 0.9760; Topic 8: 0.0013; Topic 1: 0.0013
Document 46,Topic 10: 0.9697; Topic 8: 0.0016; Topic 5: 0.0016
Document 47,Topic 10: 0.9785; Topic 19: 0.0011; Topic 1: 0.0011
Document 48,Topic 10: 0.9781; Topic 8: 0.0012; Topic 5: 0.0012
Document 49,Topic 10: 0.9726; Topic 8: 0.0014; Topic 11: 0.0014
Document 50,Topic 10: 0.9810; Topic 8: 0.0010; Topic 1: 0.0010
